,price_a,price_b,beta,spread,zscore,side,entry_z,holding_days,exit_reason,position_a,position_b,model,ret_a,ret_b,weight_a,weight_b,pair_id,target_notional_a,target_notional_b,pair_pnl,pair_gross_exposure
2022-09-09,23.25016212463379,72.22295379638672,0.3219159369431764,0.0004422844662208547,0.8662876898673912,0,,0,,0,0,kalman_beta,0.026256559656801626,0.0159747813832396,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-09-12,23.40312385559082,72.84660339355469,0.3212670317209927,-8.818761288864607e-05,-0.46264985160153976,0,,0,,0,0,kalman_beta,0.006578953305231616,0.008635060799731198,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-09-13,22.765783309936523,70.007568359375,0.32518240751321653,0.0005536866888782299,1.209717864568035,0,,0,,0,0,kalman_beta,-0.027233139882821278,-0.03897278530395942,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-09-14,22.45136070251465,68.86266326904297,0.32602919925077,0.00012173863315823041,0.07387072704692038,0,,0,,0,0,kalman_beta,-0.013811192136079065,-0.016354018817719918,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-09-15,21.839519500732425,67.70844268798828,0.32255987439743133,-0.0005072683507520992,-1.5274160385244897,0,,0,,0,0,kalman_beta,-0.027251853902721113,-0.016761195781017202,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-09-16,21.856510162353516,67.78289794921875,0.32244898079244727,-1.6196530534529074e-05,-0.2447557047663149,0,,0,,0,0,kalman_beta,0.0007779778131344894,0.0010996451590767897,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-09-19,21.59307861328125,66.31218719482422,0.32562046349930884,0.000473483249656681,1.0141271548811217,0,,0,,0,0,kalman_beta,-0.012052772703210923,-0.021697372034703344,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-09-20,20.955739974975582,64.74839782714844,0.32365342522385565,-0.0003007595378612393,-1.0357796668078427,0,,0,,0,0,kalman_beta,-0.029515876347231962,-0.023582231771082873,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-09-21,20.768789291381836,64.21783447265625,0.3234121278153919,-3.719911654798125e-05,-0.3283603178567902,0,,0,,0,0,kalman_beta,-0.008921216039948665,-0.00819423139872233,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-09-22,20.862260818481445,63.52901077270508,0.3283773321000646,0.0007737499842903617,1.7939350940609424,0,,0,,0,0,kalman_beta,0.004500576600215966,-0.010726361385550498,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-09-23,20.632822036743164,62.09554290771485,0.3322654281467974,0.0006198865034612311,1.3516408447496635,0,,0,,0,0,kalman_beta,-0.010997790878686797,-0.022563988444883942,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-09-26,19.91899871826172,61.22056579589844,0.3253826793693363,-0.0011130129144589773,-2.975630183406887,1,-2.975630183406887,1,,1,-1,kalman_beta,-0.034596494711690906,-0.014090819901788842,0.7544990707708926,-0.24550092922910752,DOC__WELL,60590.36998044939,-19715.056928218022,-32.12217076346696,80305.4269086674
2022-09-27,19.37513542175293,59.86155319213867,0.32367049554427724,-0.0002831639967055821,-0.8865455192188527,1,-2.975630183406887,2,,1,-1,kalman_beta,-0.02730374674958813,-0.022198628615922034,0.7554750244612894,-0.24452497553871053,DOC__WELL,60666.802958380336,-19636.05417662599,-1217.072002222133,80302.85713500633
2022-09-28,19.834020614624023,60.894779205322266,0.3257042759696242,0.0003306432244087887,0.6309015300332891,1,-2.975630183406887,3,,1,-1,kalman_beta,0.02368423151024235,0.017260260686307705,0.7543160402561098,-0.24568395974389015,DOC__WELL,60500.28866065623,-19705.202714172305,1097.5172437797726,80205.49137482853
2022-09-29,19.18817901611328,58.9493522644043,0.32550336890168385,-3.374052242222092e-05,-0.2528777256556958,0,,0,mean_reversion_exit,0,0,kalman_beta,-0.03256231356513517,-0.031947351912689714,0.0,0.0,DOC__WELL,0.0,0.0,-1372.8953020743236,0.0
2022-09-30,19.477115631103516,59.87086486816406,0.3253192703296538,-3.0441812921111477e-05,-0.25239858123311826,0,,0,,0,0,kalman_beta,0.015058052916204323,0.01563227700325731,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-10-03,20.19093132019043,60.8575439453125,0.33175647320602236,0.001047172913036576,2.3257118598647057,-1,2.3257118598647057,1,,-1,1,kalman_beta,0.03664894241049743,0.01648012066171267,-0.7508880340507271,0.24911196594927287,DOC__WELL,-60208.80149141247,19974.659638752502,-32.07338445206599,80183.46113016497
2022-10-04,20.292903900146484,59.92671203613281,0.3386097956728002,0.0011321822488170596,2.3697150103580333,-1,2.3257118598647057,2,,-1,1,kalman_beta,0.00505041487878688,-0.015295259204284428,-0.7470436890814689,0.25295631091853105,DOC__WELL,-59898.63178844363,20282.26347096519,-610.7998282540742,80180.89525940882
2022-10-05,19.791532516479492,58.00920486450195,0.3411716356409501,0.0004372106264014519,0.735547417350823,-1,2.3257118598647057,3,,-1,1,kalman_beta,-0.024706734242375905,-0.031997536765819845,-0.7456167230394019,0.25438327696059804,DOC__WELL,-59747.78256837584,20384.248704772635,829.8652002580527,80132.03127314847
2022-10-06,19.196680068969727,55.62628555297851,0.34508834819267487,0.0006970713983207588,1.2910056421176335,-1,2.3257118598647057,4,,-1,1,kalman_beta,-0.03005590633340094,-0.04107829640294969,-0.7434455895359201,0.25655441046408,DOC__WELL,-59623.16200041996,20575.258488749183,957.3489166155579,80198.42048916913
2022-10-07,18.61032485961914,54.54652404785156,0.34119555212400166,-0.0007065293327066513,-1.8587124779804653,-1,2.3257118598647057,5,,-1,1,kalman_beta,-0.030544615383698237,-0.019410994180055097,-0.7456034270441303,0.2543965729558698,DOC__WELL,-59853.321370899146,20421.687031599242,1420.6804367566363,80275.00840249838
2022-10-10,18.363889694213867,53.401607513427734,0.3438734170305416,0.0004964436476306844,0.8445953466938301,-1,2.3257118598647057,6,,-1,1,kalman_beta,-0.013241851889431056,-0.020989724907483298,-0.7441177028485515,0.25588229715144856,DOC__WELL,-59818.62712566176,20570.035711777153,362.89995385363864,80388.66283743891
2022-10-11,18.865264892578125,54.14627456665039,0.3483977029087849,0.0008272124887653831,1.5268369132219572,-1,2.3257118598647057,7,,-1,1,kalman_beta,0.027302233171343504,0.013944656123608512,-0.7416209608209686,0.25837903917903143,DOC__WELL,-59639.448109611054,20778.246724136166,-1347.4444893526236,80417.69483374723
2022-10-12,18.831274032592773,53.904258728027344,0.34934346153221746,0.00017369721545534844,0.07527309169969347,0,,0,mean_reversion_exit,0,0,kalman_beta,-0.0018017695579097825,-0.0044696674066678765,0.0,0.0,DOC__WELL,0.0,0.0,-18.52904593613833,0.0
2022-10-13,19.315650939941406,55.07709884643555,0.35069762091272333,0.00024340772156250523,0.22640578560786176,0,,0,,0,0,kalman_beta,0.025721940348288896,0.021757837805093327,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-10-14,18.92474937438965,53.83910369873047,0.3515029039805023,0.0001480765784833693,0.029677001524163724,0,,0,,0,0,kalman_beta,-0.020237555895330495,-0.022477493797500525,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-10-17,19.417625427246097,55.83107376098633,0.3478041882117122,-0.0006558591819789683,-1.7387638895533615,0,,0,,0,0,kalman_beta,0.02604399366701493,0.036998573999344364,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
