,price_a,price_b,beta,spread,zscore,side,entry_z,holding_days,exit_reason,position_a,position_b,model,ret_a,ret_b,weight_a,weight_b,pair_id,target_notional_a,target_notional_b,pair_pnl,pair_gross_exposure
2016-03-23,42.3956413269043,34.21671676635742,1.2390337486941023,-2.551611988366176e-05,-0.08183715393921077,0,,0,,0,0,kalman_beta,0.00782884064293854,0.007956826124577265,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-24,42.32246398925781,34.37204360961914,1.2313690767857748,-0.0022076175592999903,-0.7725332292574787,0,,0,,0,0,kalman_beta,-0.0017260580417272076,0.004539501680489666,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-28,42.27854919433594,34.15594482421875,1.237755196412052,0.0018509997958489066,0.5266859861452575,0,,0,,0,0,kalman_beta,-0.00103762377665495,-0.006287050832785357,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-03-29,42.834747314453125,34.57463455200195,1.238897268232603,0.0003270178373426802,0.029916019564622805,0,,0,,0,0,kalman_beta,0.013155563062502207,0.012258180235913851,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-30,42.732295989990234,34.581382751464844,1.2357285835814458,-0.0009071357652601364,-0.3752744209634238,0,,0,,0,0,kalman_beta,-0.002391780759456563,0.00019517775242827717,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-31,42.695709228515625,34.932525634765625,1.2223422779267896,-0.0037937296197583237,-1.3039938243921458,0,,0,,0,0,kalman_beta,-0.0008561852488145894,0.010154101871068466,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-04-01,43.032344818115234,34.912261962890625,1.2325028850336668,0.002881225801395715,0.8367935662441911,0,,0,,0,0,kalman_beta,0.0078845297497665,-0.0005800803551070377,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-04-04,42.878662109375,34.79747009277344,1.232237216633996,-7.558364886506297e-05,-0.10900843597800859,0,,0,,0,0,kalman_beta,-0.003571330109707116,-0.0032880101048509136,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-04-05,41.77358627319336,34.20320510864258,1.2214269144761638,-0.0031290078513066533,-1.0589965480769647,0,,0,,0,0,kalman_beta,-0.02577216223217993,-0.01707782153548787,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-04-06,41.6345329284668,34.007389068603516,1.2242548113745557,0.000823238942473381,0.19716782320820223,0,,0,,0,0,kalman_beta,-0.003328738495593231,-0.005725078670758332,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-04-07,41.56867218017578,34.21671676635742,1.214943170173253,-0.002694160862802164,-0.9029278650533565,0,,0,,0,0,kalman_beta,-0.0015818779186059784,0.006155359275939354,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
