date,equity,daily_return,gross_exposure,net_exposure
2013-11-08,997801.0051207953,0.00020103459349513514,79808.03623354176,-5041.288586989664
2013-11-11,997590.1525538155,-0.00021131725253602476,79824.08040966363,-4862.879415191463
2013-11-12,997330.0651167565,-0.00026071572217625593,79807.21220430525,-4572.983042606276
2013-11-13,997169.8550252229,-0.0001606389871690285,79786.4052093405,-4442.410235056021
2013-11-14,997038.7747465966,-0.000131452307714424,0.0,0.0
2013-11-15,997038.7747465966,0.0,0.0,0.0
2013-11-18,997038.7747465966,0.0,0.0,0.0
2013-11-19,997038.7747465966,0.0,0.0,0.0
2013-11-20,997038.7747465966,0.0,0.0,0.0
2013-11-21,997038.7747465966,0.0,0.0,0.0
2013-11-22,997038.7747465966,0.0,0.0,0.0
2013-11-25,997038.7747465966,0.0,0.0,0.0
2013-11-26,997038.7747465966,0.0,0.0,0.0
2013-11-27,997038.7747465966,0.0,0.0,0.0
2013-11-29,997038.7747465966,0.0,0.0,0.0
2013-12-02,997038.7747465966,0.0,0.0,0.0
2013-12-03,997038.7747465966,0.0,0.0,0.0
2013-12-04,997038.7747465966,0.0,0.0,0.0
2013-12-05,997038.7747465966,0.0,0.0,0.0
2013-12-06,997038.7747465966,0.0,0.0,0.0
2013-12-09,997038.7747465966,0.0,0.0,0.0
2013-12-10,997038.7747465966,0.0,0.0,0.0
2013-12-11,997006.8695058047,-3.2e-05,79763.10197972773,5047.694864471079
2013-12-12,996547.9242669945,-0.0004603230457557072,79760.5495604644,5521.430500390597
2013-12-13,996264.9656994427,-0.00028393874560519517,79723.83394135955,5811.181977022337
2013-12-16,996408.1959265535,0.0001437672025435978,79701.19725595543,5702.750956946817
2013-12-17,996537.4204938712,0.00012969038978807574,79712.65567412428,5553.939120389237
2013-12-18,996830.4339074878,0.0002940315211358316,79722.99363950972,5347.50175165668
2013-12-19,996684.8445797155,-0.00014605225003173176,0.0,0.0
2013-12-20,996684.8445797155,0.0,0.0,0.0
2013-12-23,996684.8445797155,0.0,0.0,0.0
2013-12-24,996684.8445797155,0.0,0.0,0.0
2013-12-26,996684.8445797155,0.0,0.0,0.0
2013-12-27,996684.8445797155,0.0,0.0,0.0
2013-12-30,996684.8445797155,0.0,0.0,0.0
2013-12-31,996684.8445797155,0.0,0.0,0.0
2014-01-02,996684.8445797155,0.0,0.0,0.0
2014-01-03,996684.8445797155,0.0,0.0,0.0
2014-01-06,996684.8445797155,0.0,0.0,0.0
2014-01-07,996652.950664689,-3.2000000000000005e-05,79734.78756637724,-23216.507364202436
2014-01-08,996574.5873261289,-7.862650535255447e-05,79732.23605317512,-23046.90140323897
2014-01-09,996536.1891319577,-3.853017592408088e-05,0.0,0.0
2014-01-10,996536.1891319577,0.0,0.0,0.0
2014-01-13,996504.2999739054,-3.2e-05,79722.89513055662,23670.333731563307
2014-01-14,996746.6463484948,0.00024319651665903323,79720.34399791244,23265.171172889586
2014-01-15,996604.01430404,-0.00014309759152667377,79739.73170787959,23487.705398925886
2014-01-16,996801.9026023027,0.00019856261405980992,0.0,0.0
2014-01-17,996801.9026023027,0.0,0.0,0.0
2014-01-21,996801.9026023027,0.0,0.0,0.0
2014-01-22,996801.9026023027,0.0,0.0,0.0
2014-01-23,996801.9026023027,0.0,0.0,0.0
